"","logFC","logCPM","LR","PValue"
"Furin",-0.319760612673407,7.86308286280712,6.5685911123914,0.0103794084769367
"Lrrc32",-0.580255513975092,9.15957683071966,12.515022773537,0.00040369286745397
"Pappa",-0.342746320961861,8.43730015217492,6.94497905395617,0.00840548214336907
"Igfbp4",0.0487543371416961,7.36277833349094,0.0196418557717948,0.88854194607173
"Wwtr1",-0.153806434696559,7.67078005249221,2.25361709377358,0.133302491864587
"Ece1",-0.283681768700481,8.57843531515835,4.11739062523879,0.0424444972782273
"Tcp1",-0.0144637480556656,7.89009694035404,0.0173463889245795,0.895217084320102
"Mest",0.0422266275410642,6.99990100014101,0.051324973790571,0.820773553182766
"Pttg1ip",0.056835851924392,8.05801035105509,0.303146716515609,0.581916404099745
"Secisbp2l",-0.125523086625403,7.8230826501077,0.541948757035016,0.461626218641863
"Hectd1",-0.119918100818246,7.7072500443581,1.1567896722779,0.28213233049261
"Hyou1",0.0212046397899043,8.04599813694776,0.0350761739948791,0.851436130825699
"Anapc5",0.0224444568790591,7.6842782331875,0.0449527095069691,0.832091009754595
"Capza2",0.0526178357328536,7.75988823539031,0.220713689076385,0.638496660374812
"Tab2",0.102864688739971,7.56196406021491,0.890523136003971,0.345335582394288
"Sars",-0.089104601793238,7.62338638027176,0.495100665097812,0.48166079427602
"Rps29",-0.277402873430594,7.76304545846183,4.96591077592616,0.0258516972990753
"Sgpl1",-0.1220205448346,7.69785988752459,1.38754226167006,0.238820591621103
"Cbx6",-0.136012591173667,6.87441664002311,0.867002263798586,0.351786547724465
"Mat2a",-0.122193686074738,8.21979247967821,1.02095672846428,0.312292177930078
"Ap2a2",-0.0866898559199399,7.60349315042,0.691844534728083,0.405537693837127
"Ppp1cc",-0.0616507078249939,7.62176458582372,0.36758951294544,0.544321130804431
"Hnrnpa0",-0.215403691365048,7.82291700099643,3.7054137729412,0.0542362224722725
"Loxl3",-0.328581665440769,8.23537588011636,8.50340390976502,0.00354482716134099
"Mtch1",-0.189055816436645,7.79814161681986,2.8102991811163,0.0936609069059037
"Itm2a",-0.0119823818013032,7.45864274003936,0.00113707371718874,0.973100012748971
"Ddah1",-0.025504772575212,8.05817092277319,0.0465754028014089,0.829133240354841
"Tbx15",-0.0335332884904321,8.04094574949756,0.0741556419400791,0.785379565624703
"Cenpb",-0.110751053060533,7.62125229483318,0.958221946842599,0.327635263915808
"Ptprs",-0.189502139851111,7.40264322621692,1.8725455053973,0.171183824158831
"Ap2b1",-0.00972980136494939,7.83900925382911,0.00895967808091314,0.924588404640276
"Ttyh3",-0.187607996246868,7.45160312381097,2.52414165241006,0.11211577308193
"Actg2",-0.41102729733634,8.90532216042386,6.78384680590764,0.0091986436915741
"Vgll3",0.113178325287834,7.44351506075898,0.810012139638973,0.368116661630226
"Trim28",-0.0464511852859351,7.70691153258006,0.205724933484007,0.650138994042017
"Ryk",-0.133421191412507,7.83978654454394,1.75955339833749,0.184680230473659
"Arhgap29",-0.200811556920264,7.76956423568601,2.6425955706751,0.104033451957821
"Amotl1",-0.148787583474731,7.57396842339984,2.0959089559465,0.147693851563054
"Dync1li2",-0.0123587014040033,7.69537203755743,0.0154552103857526,0.901062714922994
"Sepn1",0.0349941643419311,7.5899260882521,0.111657857180759,0.738264526047533
"Clic1",-0.0738939159208955,7.86252052744969,0.387824448702673,0.533445186226309
"Hnrnpul2",-0.0859682062149035,7.84214944889452,0.695001288205338,0.404468448846896
"Fbln1",0.0604934219210235,7.4244977468863,0.120442269820895,0.728555306462744
"Rpl24",-0.0613224459181386,7.8273907534504,0.341993134671597,0.558681000007536
"Qk",-0.0620478082775114,7.87599035549152,0.269841383068439,0.603438193698091
"Glud1",-0.0433861181836901,7.82259887070351,0.186176409834509,0.666118196086664
"Usp47",0.0299374279043292,7.77668479697837,0.0751530240143161,0.783976636666729
"Kank2",-0.156901373710543,7.27675115509735,1.72436291757945,0.189132409013646
"Cdv3",-0.127447811735723,7.85655260356078,1.12323976653516,0.289221916425467
"Nfat5",-0.166669911656915,7.67676705034977,2.08879267863833,0.148383294101433
